Company,Market cap,Revenue,Sector
RISANAMENTO,199.8257859,484.7197697,"Real Estate Rental, Development & Operations"
SS LAZIO,72.67917344,147160.977,Leisure & Recreation
SABAF,239.2941734,258165.7946,"Appliances, Tools & Housewares"
SAES GETTERS,370.3311518,220173.8541,Commodity Chemicals
SAFILO GROUP,502.5417751,1023061.658,Apparel & Accessories
SAIPEM,2149.772683,8428514.395,Oil Related Services and Equipment
SALCEF GROUP,1098.399228,494515.1862,Construction & Engineering
SALVATORE FERRAGAMO,2824.524756,1193552.399,Apparel & Accessories
SANLORENZO,1135.896612,749383.8964,Recreational Products
SARAS,914.4363279,12229206.85,Oil & Gas Refining and Marketing
SECO,635.2156442,156514.4587,Semiconductors
SERI INDUSTRIAL,319.6958808,166560.9674,Electrical Components & Equipment
SERVIZI ITALIA,53.91188347,263490.4299,Business Support Services
SESA,1990.810366,2531039.314,Integrated Hardware & Software
SIT,173.8729133,386900.7313,Industrial Machinery & Equipment
SNAM,16268.16789,3405790.787,Oil & Gas Transportation Services
SOFTLAB,12.29834688,21890.41843,IT Services & Consulting
SOGEFI,138.1019377,1436144.37,Industrial Machinery & Equipment
SOL,1790.498523,1245792.455,Commodity Chemicals
SOMEC,199.597832,288010.9597,Construction Supplies & Fixtures
STELLANTIS,48094.87889,164476543.2,Auto & Truck Manufacturers
STMICROELECTRONICS,34354.50295,13062897.97,Semiconductors
TAMBURI INV.PARTNERS,1523.091992,52204.60077,Investment Management & Fund Operators
TECHNOGYM,1678.358442,664278.6219,Recreational Products
TECHNOPROBE SPA,1880.53307,470182.144,Semiconductors
TELECOM ITALIA,4869.269973,15551547.02,Integrated Telecommunications Services
TENARIS,14417.3365,8344235.461,Oil Related Services and Equipment
TERNA RETE ELETTRICA NAZ,14130.29736,2715951.056,Electric Utilities
TESMEC,78.78,219716.595,Heavy Machinery & Vehicles
TESSELLIS,93.90601626,122151.8215,Integrated Telecommunications Services
ITALIAN SEA GROUP,337.1912044,238680.7946,Recreational Products
TINEXTA,1184.751843,366275.4568,IT Services & Consulting
TOD'S,1302.625095,963591.4031,Footwear
TREVI FIN INDUSTRIALE,121.9090379,518165.8503,Construction & Engineering
TRIBOO,34.7052981,92930.81574,Advertising & Marketing
TXT E-SOLUTION,157.0814228,123508.2975,Software
UNICREDIT,27291.3956,25751681.38,Banks
UNIDATA,111.6671274,43350.4357,Integrated Telecommunications Services
UNIEURO,319.9879539,2900126.208,Computer & Electronics Retailers
VALSOIA,124.8170867,96126.55086,Food Processing
WEBUILD,1722.819417,6815302.958,Construction & Engineering
WIIT,585.3206504,96449.39347,IT Services & Consulting
ZIGNAGO VETRO,1329.047818,415541.8752,Non-Paper Containers & Packaging
VINCENZO ZUCCHI,9.833102981,106284.4395,Apparel & Accessories
